Série,Geração,Temporada,Descrição,Episódios,Região
Série Original,Primeira,Liga Índigo,"Mostra a jornada de Ash, Misty e Brock na Liga Índigo.Tem 83 episódios",001-083,Kanto
,,,,(lista),
Aventuras nas Ilhas Laranja,"Mostra a jornada de Ash, Misty e Tracey na Liga Laranja.Tem 35 episódios",084-118,Ilhas Laranja,,
,,(lista),,,
Segunda,A Jornada Johto,"Inicia a jornada de Ash, Misty e Brock em Johto.Tem 41 episódios",119-159,Johto,
,,,(lista),,
Campeões da Liga Johto,Continua com as aventuras de Ash e seus amigos em Johto.Tem 52 episódios,160-211,,,
,,(lista),,,
Master Quest,"Encerra as aventuras em Johto, Misty volta a Cerulean City,Brock volta a Pewter City e Ash segue para Pallet Town,indo depois para Hoenn.Tem 65 episódios",212-276,,,
,,(lista),,,
Geração Avançada,Terceira,Pokémon: Avançado,"Inicia as Aventuras de Ash, Brock,agora juntamente com May e Max em Hoenn. Ash conquistando insígnias para liga Hoenn e May conquistando fitas em concursos Pokémon.Tem 40 episódios",277-316,Hoenn
,,,,(lista),
Desafio Avançado,"Continua com a jornada de Ash e seus amigos em Hoenn. Eles encontram Misty que abandona seu Togepi, já evoluído em Togetic.Tem 52 episódios",317-368,,,
,,(lista),,,
Batalha Avançada,Encerra as aventuras em Hoenn e começa a Jornada de Ash conquistando símbolos da Batalha da Fronteira.Tem 53 episódios,369-421,,,
,,(lista),,,
Batalha da Fronteira,"Conclui a Jornada na Batalha da Fronteira. May vai para Johto, Max volta para casa e Ash e Brock seguem para Sinnoh.Tem 47 episódios",422-468,Kanto,,
,,(lista),,,
Diamante e Pérola,Quarta,Diamante e Pérola,"Inicia as aventuras de Ash e Brock em Sinnoh com uma nova amiga: Dawn, que quer ser uma top-coordenadora como sua mãe. Ash ganha um novo rival: Paul.Tem 52 episódios",469-520,Sinnoh
,,,,(lista),
Batalha Dimensional,"Continua as aventuras de Ash, Brock e Dawn em Sinnoh. Eles reveem May, conhecem Barry (rival de Paul) e a Equipe Galática.Tem 52 episódios",521-572,,,
,,(lista),,,
Batalhas Galácticas,"Continua a jornada de Ash, Dawn e Brock em Sinnoh com vários pokémons novos. Nessa temporada acontece o fim da Equipe Galáctica.Tem 53 episódios",573-625,,,
,,(lista),,,
Vencedores da Liga Sinnoh,"Conclui a jornada de Ash, Dawn e Brock em Sinnoh.Tem 34 episódios",626-659,,,
,,(lista),,,
Preto e Branco,Quinta,Preto e Branco,"Inicia as aventuras de Ash na região de Unova com seus novos amigos, Iris e Cilan.Tem 48 episódios",660-707,Unova
,,,,(lista),
Destinos Rivais,Ash reencontra Dawn.Tem 49 episódios,708-756,,,
,,(lista),,,
Aventuras em Unova (e Mais Além),"Continua a jornada de Ash, Iris e Cilan em Unova, onde eles continuam a explorar a região. Ele se juntam à Alexa, um repórter da região de Kalos em uma viagem de barco pelo arquipélago Decolora de volta para Kanto.Tem 47 episódios",757-803,,,
,,(lista),,,
XY,Sexta,A Série XY,"Inicia as aventuras de Ash, Serena, Clemont e Bonnie pela Região de Kalos.Tem 49 episódios",804-852,Kalos
,,,,(lista),
Kalos Quest,"Continua as aventuras de Ash, Serena, Clemont e Bonnie pela Região de Kalos.Tem 45 episódios",853-897,,,
,,(lista),,,
XY & Z,"Continua A Saga de Ash ,Clement, Bonnie e Serena para a Liga Kalos e Ash em Busca de Sua Oitava Insignia de Ginasio e Serena Sua Terceira Chave de Princesa e o Aparecimento de Team Flare e o Lendario Zygarde. Tem 49 episódios.",898-946,,,
,,(lista),,,
Sun and Moon,Sétima,Sun and Moon,"Inicia as aventuras de Ash, Lana, Mallow, Kiawe, Sophocles e Lillie pela Região de Alola.Tem ??? episódios",947-,Alola
,,,,(Lista),
